
А
Абакус Прайм, СЭ 280 - стр 
Спрут Экстра, ВР 467 - стр 
Спрут, ВР 434 - стр 
Стабилан, ВР 874 - стр 
Сталкер, ВДГ 647 - стр 
Стандак Топ, КС 148 - стр 
Старане Премиум 330, КЭ 683 - стр 
Старбокс, СТС 650 - стр 
Статус Гранд, ВДГ 659 - стр 
Статус Макс, ВДГ 635 - стр 
Статус Фло, КЭ 391 - стр 
Стеллар Плюс, ВРК 488 - стр 
Стеллар, ВРК 486 - стр 
Стернифаг, СП 198 - стр 
Стилет, МД 97 - стр 
Стиммунол ЕФ, Ж 753 - стр 
Стимулэйт, Ж 738 - стр 
Стингер Трио, КС 334 - стр 
Стингер, КС 321 - стр 
Стожар, РП 48 - стр 
Стомп Профессионал, МКС 589 - стр 
СтопУлит, Г 179 - стр 
Страйк Форте, КС 329 - стр 
Стратег, КС 586 - стр 
Стратос Ультра, КЭ 691 - стр 
Стрекар, КС 357 - стр 
Стриж, ВДГ 428 - стр 
Стрим, КЭ 618 - стр 
Стрит, КС 88 - стр 
Строби, ВДГ 254 - стр 
Стробитек Мульти, КС 291 - стр 
Стробитек, ВДГ 255 - стр 
Стробишанс Про, СК 214 - стр 
Султан, СК 550 - стр 
Суми-альфа, КЭ 157 - стр 
Сумитион, КЭ 144 - стр 
Супер Альянс, КЭ 299 - стр 
Суперкилл, КЭ 151 - стр 
Суперкорн, МД 549 - стр 
Суперстар, ВДГ 647 - стр 
Суховей, ВР 707 - стр 
Суховей, ВР 707 - стр 
Сфера макс, КС 351 - стр 
Сфинкс, КС 314 - стр 
Сценик Комби, КС 102 - стр 
Сценик Комби, КС 102 - стр 
Сэмпай, КЭ 158 - стр 

Т
Табазол, П 124 - стр 
ТабаМин, ВРК 125 - стр 
Табачная пыль, П 125 - стр 
Табу Нео, СК 92 - стр 
Табу Супер, СК 95 - стр 
Табу, ВСК 77 - стр 
Тагор, КЭ 65 - стр 
Тайгер 100, КЭ 671 - стр 
Тайгер, ЭМВ 671 - стр 
Тайпан, КЭ 674 - стр 
Тайра, КЭ 149 - стр 
Тайфун, ВР 461 - стр 
Тайшин, ВДГ 98 - стр 
Такер, КС 98 - стр 
Талака 100, КЭ 672 - стр 
Талант, СК 379 - стр  
Талисман, МД 587 - стр 
Талиус, КЭ 283 - стр 
Таллер, ВДГ 655 - стр 
Талстар, КЭ 51 - стр 
Тандем, ВДГ 659 - стр 
Танит, МД 625 - стр 
Танос, ВДГ 351 - стр 
Таношанс, ВДГ 353 - стр 
Танрек, ВРК 81 - стр 
Танто, ККР 416 - стр 
Тапир Гибрид, МК 516 - стр 
Тапир, ВК 511 - стр 
Тапирошанс, ВРК 513 - стр 
Таран, ВЭ 76 - стр 
Тарга Супер, КЭ 687 - стр 
Таргет Супер, КЭ 688 - стр 
Тачдаун, ВР 449 - стр 
Тачигарен, СП 221 - стр 
Тачигарен, СП 221 - стр 
Твинго Евро, МД 73 - стр 
Твинго, КС 75 - стр 
Тебаз Про, СК 211 - стр 
Тебу 60, МЭ 321 - стр 
Тебузан, ТКС 317 - стр 
Тебузил, ТКС 241 - стр 
Тебузол, ВЭ 320 - стр 
Тебуконазол, КС 317 - стр 
Тезис, ВДГ 615 - стр 
Тейя, КС 133 - стр 
Телус, КЭ 617 - стр 
Тельдор, ВДГ 354 - стр 
Темифлю, КС 140 - стр 
Терапевт Про, КС 255 - стр 
Тердок, КЭ 529 - стр 
Террагард, СЭ 620 - стр 
Террадим, КЭ 63 - стр 
Террадокс, Г 60 - стр 
Террамет, ВДГ 563 - стр 
Террасил Форте, КС 329 - стр 
Террасил, КС 321 - стр 
Террастар, ВДГ 643 - стр 
Терция, СК 309 - стр 
Тефлутрин, МКС 132 - стр 
Тиазол, КС 336 - стр 
Тиамакс, КС 138 - стр 
Тиара, КС 137 - стр 
Тибор, КЭ 70 - стр 
Тигран Экстра, КЭ 674 - стр 
Тигран, КЭ 669 - стр 
Тигрис, ВР 424 - стр 
Тилт Турбо, КЭ 357 - стр 
Тилт, КЭ 285 - стр 
Тиматерр, КС 139 - стр 
Тимус, КЭ 287 - стр 
Тиовит Джет, ВДГ 311 - стр 
Тир, ТПС 344 - стр 
Тирада, СК 343 - стр 
Тирам, ВСК 342 - стр 
Тираназор, КЭ 399 - стр 
Титан, КЭ 290 - стр 
Титул 390, ККР 288 - стр 
Титул Дуо, ККР 294 - стр 
Титул Трио, ККР 327 - стр 
Титус Плюс, ВДГ 485 - стр 
Титус, СТС 605 - стр 
Тифенс Классик, ВДГ 638 - стр 
Тифенс, ВДГ 626 - стр 
Тифи, ВДГ 626 - стр 
ТифилАгро, ВДГ 630 - стр 
ТМТД, ВСК 341 - стр 
ТМТД, ТПС 342 - стр 
ТМТД-плюс, КС 342 - стр 
Тод, КЭ 65 - стр 
Толазин, СЭ 619 - стр 
Томатон, Р 738 - стр 
Тонгара, ВР 709 - стр 
Тонус, ВДГ 352 - стр 
Топаз, КЭ 274 - стр 
Топик, КЭ 529 - стр 
Топсин-М, КС 341 - стр 
Топсин-М, СП 341 - стр 
Топтун 100, КЭ 676 - стр 
Топтун, КЭ 393 - стр 
Топшот 113, МД 691 - стр 
Тореадор Макси, КС 88 - стр 
Торег, КЭ 110 - стр 
Тореро, КС 562 - стр 
Торнадо 500, ВР 438 - стр 
Торнадо, ВР 439 - стр 
Тотал 480, ВР 450 - стр 
Тотал, ВР 441 - стр 
ТРАНШ Супер, СК 551 - стр 
Трафик, ВРК 810 - стр 
Трейсер, КЭ 531 - стр 
ТриАгро, КС 213 - стр 
Триада, ККР 295 - стр 
Триактив Экстра, КС 215 - стр 
Триактив, КС 212 - стр 
ТриАлт, ВДГ 652 - стр 
Трианум Г, Г 201 - стр 
Триас, ВДГ 640 - стр 
Трибел, ВДГ 642 - стр 
Трибинстар, ВДГ 653 - стр 
Трибун, СТС 645 - стр 
Трибунал, ВДГ 653 - стр 
Трибьют, ВГ 635 - стр 
Тридим, КС 345 - стр 
Тризлак, ВДГ 654 - стр 
Тример, ВДГ 607 - стр 
Триметил, ВДГ 642 - стр 
Тринити, КЭ 702 - стр 
Трисил, ВДГ 635 - стр 
Тристар, КС 595 - стр 
Тритон, КС 333 - стр 
Триходерма Вериде 471, СП 201 - стр 
Трихоплант, СК 203 - стр 
Трихофит Плюс, Ж 201 - стр 
Трихоцин, СП 200 - стр 
Трицепс, ВДГ 661 - стр 
Туарег, СМЭ 92 - стр 
Туарег, СМЭ 92 - стр 
Тузол, КЭ 297 - стр 
Турион, КЭ 238 - стр 

У
УкоренитЪ, СП 735 - стр 
Укротитель, КЭ 669 - стр 
Улис, ВДГ 353 - стр 
Ультор, МД 130 - стр 
Универсал, КС 318 - стр 
Унико, ККР 683 - стр 

Ф
Фабиан, ВДГ 516 - стр 
Фабрис, ЭМВ 671 - стр 
Фаворит Трио, КС 333 - стр 
Фазис, ВДГ 146 - стр 
Фазор, ВГ 810 - стр 
Файтер, ВР 462 - стр 
Факел Экстра, ВР 452 - стр 
Факел, ВР 441 - стр 
Факел, ВР 441 - стр 
Фактория, МКС 142 - стр 
Фалькон, КЭ 312 - стр 
Фамокс, ВДГ 352 - стр 
Фанданго, КЭ 307 - стр 
Фараон Супер, КС 330 - стр 
Фараон, КЭ 315 - стр 
Фарго, КС 330 - стр 
Фарди, КЭ 226 - стр 
Фармайод, ГР 245 - стр 
ФАС, серная шашка 128 - стр 
ФАС, серная шашка 128 - стр 
Фаскорд, КЭ 26 - стр 
Фастак, КЭ 27 - стр 
Фасшанс, КЭ 29 - стр 
Фатрин, КЭ 28 - стр 
Фаэтон, КС 586 - стр 
Фезан 250, КЭ 323 - стр 
Фенизан, ВР 489 - стр 
Феникс Дуо, КС 341 - стр 
Феникс, КЭ 529 - стр 
Феноксоп 100, КЭ 670 - стр 
Феразим Грин, КС 251 - стр 
Феразим, КС 248 - стр 
Ферат, ВДГ 654 - стр 
Фея, КЭ 306 - стр 
Фидес, КЭ 677 - стр 
Филдер 69, ВГ 258 - стр 
Фильтерр, КЭ 300 - стр 
Фирман, ВР 684 - стр 
Фист, КЭ 589 - стр 
Фитоверм М, КЭ 17 - стр 
Фитоверм Форте, КЭ 20 - стр 
Фитоверм, KЭ (10 г/л) 18 - стр 
Фитоверм, KЭ (50 г/л) 19 - стр 
Фитоверм, КЭ 16 - стр 
Фитоверм, П 164 - стр 
Фитолавин, ВРК 355 - стр 
Фитолекарь, КС 373 - стр 
Фитомаг, П 720 - стр 
Фитомаг, ТАБ 721 - стр 
Фитомаг-Пак, П 721 - стр 
Фитомаг-Эко, П 721 - стр 
Фитоплазмин, ВРК 264 - стр 
Фитоспорин-АС, Ж 929 - стр 
Фитоспорин-М, Ж 917 - стр 
Фитоспорин-М, П 921 - стр 
Фитоспорин-М, ПС 921 - стр 
Фитотрикс, Ж 934 - стр 
ФлагАгро, ТАБ 33 - стр 
Флагман, КС 677 - стр 
ФлангАгро, КЭ 432 - стр 
Флекс, ВР 684 - стр 
Флексити, КС 273 - стр 
Флинт, ВСК 389 - стр 
Флокс, ВДГ 384 - стр 
Флоракс, КС 412 - стр 
Флорастар, СЭ 399 - стр 
Флорин, СЭ 401 - стр 
Флоробел, СЭ 413 - стр 
Флоробел, СЭ 413 - стр 
Флортек, СЭ 400 - стр 
Флуафол, КС 373 - стр 
Флудимакс, КС 363 - стр 
Флуорон, ВДГ 663 - стр 
Флуплант, КС 372 - стр 
Флутеприд, ТС 96 - стр 
Флутеприд, ТС 96 - стр 
Флутривит, КС 372 - стр 
Флутриобел, КС 374 - стр 
Флуцит, КС 337 - стр 
Флюенс, ВДГ 654 - стр 
Фокстрот Турбо, КЭ 670 - стр 
Фокстрот Экстра, КЭ 673 - стр 
Фокстрот, ВЭ 665 - стр 
Фоликур, КЭ 317 - стр 
Фомаз, ВР 684 - стр 
Фомесан, ВР 684 - стр 
Фомесофт, ВК 684 - стр 
Фонтелис, КС 275 - стр 
Форвард, МКЭ 689 - стр 
Форинт, ВДГ 663 - стр 
Форис, КС 374 - стр 
Форс Зеа, КС 143 - стр 
Форс, Г 132 - стр 
Форс, МКС 132 - стр 
Форсер Энто, КС 88 - стр 
Фортенза, КС 153 - стр 
Фортис, КС 596 - стр 
Фортуна Глобал, ВДГ 258 - стр 
Фортуна Голд, ВДГ 261 - стр 
Фортуна Экстра, ВДГ 260 - стр 
Фоском, ТАБ 36 - стр 
Фостоксин, ТАБ 37 - стр 
Фостран, КЭ 68 - стр 
Фосфин, ТАБ 38 - стр 
Фразол Классик, КС 323 - стр 
Фразол, КС 325 - стр 
Франкорн, КС 547 - стр 
Фреш Форма, П 721 - стр 
Фронтьер Оптима, КЭ 490 - стр 
Фуджи 1, КЭ 238 - стр 
Фултайм, МД 549 - стр 
Фумифаст, ТАБ 39 - стр 
Фумифос, ТАБ 43 - стр 
Фумишанс, ТАБ 43 - стр 
Фумфайтер, ТАБ 37 - стр 
Фунгисил, КЭ 301 - стр 
Фундазол, СП 220 - стр 
Фуролан, Ж 723 - стр 
Фурон, ВДГ 663 - стр 
Фуроре Ультра, ЭМВ 664 - стр 
Фуфанон Эксперт, ВЭ 121 - стр 
Фуфанон, КЭ 120 - стр 
Фуфанон-Нова, ВЭ 120 - стр 
Фьюри, ВЭ 76 - стр 
Фюзилад Супер, КЭ 678 - стр 
Фюзилад Форте, КЭ 677 - стр 

Х
Х-Панд, Ж 779 - стр 
Х-Сайт, Ж 738 - стр 
Хайджек, КС 340 - стр 
Хайп, КС 350 - стр 
Хакер 300, ВР 537 - стр 
Хакер, ВРГ 536 - стр 
Харвест Смарт, П 721 - стр 
Харвест-Макс, Р 879 - стр 
Харита, КС 139 - стр 
Хармони Про, ВДГ 627 - стр 
Хармони, СТС 627 - стр 
Хатор, ВР 539 - стр 
Хевимет Голд, КС 619 - стр 
Хевимет, КЭ 617 - стр 
Хевимет, КЭ 617 - стр 
Хеликовекс, СК 54 - стр 
Хет-Трик, СК 92 - стр 
Хилер, МКЭ 519 - стр 
ХимАгроМаркетинг Тиабен Т, ТКС 334 - стр 
Химера, КЭ 689 - стр 
Химстар, ВДГ 652 - стр 
Хинуфур, КС 246 - стр 
Хит, СП 574 - стр 
Хищник, Г 180 - стр 
Хлорошанс, СП 267 - стр 
Хлорпирифос, КЭ 150 - стр 
Хомоксил, ВДГ 267 - стр 
Хорист, ВДГ 382 - стр 
Хорс Д, КС 486 - стр 
Хорс, ВДГ 584 - стр 
Хортон, КС 383 - стр 
Хорус, ВДГ 383 - стр 
Хранитель, КЭ 226 - стр 
ХЭФК, ВР 879 - стр 

Ц
Царумин, ВК 581 - стр 
Цаца, ПС 779 - стр 
Цветень, КРП 770 - стр 
Цветолюкс Бау, ВР 82 - стр 
Цегран, ВК 876 - стр 
Цезарь, КЭ 30 - стр 
Целитель, ВДГ 353 - стр 
Цензор Макс, МКЭ 524 - стр 
Центрино, ВК 874 - стр 
Центурион Нео, КЭ 525 - стр 
Центурион Профи, КЭ 525 - стр 
Центурион, КЭ 524 - стр 
Цепеллин Эдванс, КЭ 110 - стр 
Цепеллин, КЭ 27 - стр 
Цериакс Плюс, КЭ 386 - стр 
Ци-Альфа, КЭ 28 - стр 
Цидели Топ, ДК 237 - стр 
Циклон, КЭ 152 - стр 
Цимус Прогресс, КЭ 298 - стр 
Цимус, КС 385 - стр 
Циперус, КЭ 154 - стр 
Ципи Плюс, КЭ 151 - стр 
Ципи, КЭ 24 - стр 
Циракс, КЭ 155 - стр 
Циркон, Р 785 - стр 
Цитадель 25, МД 591 - стр 
Цитодеф-100, ВРП 754 - стр 
Цитокс, КЭ 156 - стр 
Цихом, СП 270 - стр 
Цицерон, ВДГ 614 - стр 
Цукрон+, ВР 541 - стр 
Цунами, КЭ 27 - стр 

Ч
Чемп ДП, ВДГ 264 - стр 
Чермен, ВДГ 540 - стр 
Чисталан экстра, КЭ 410 - стр 
Чисталан, КЭ 410 - стр 
Чисталан-супер, КЭ 411 - стр 
Чистогряд, ВР 428 - стр 
Чистосад, КС 270 - стр 
Чистофлор, КЭ 290 - стр 
Чистоцвет БАУ, ВР 289 - стр 
Чистоцвет, КЭ 228 - стр 

Ш
Шаман, КЭ 151 - стр 
Шанс 24, КЭ 403 - стр  
Шанс ДКБ, ВР 483 - стр 
Шанс Профи, ВДГ 147 - стр 
Шансгард, КС 594 - стр 
Шансил Трио, КС 333 - стр 
Шансил Ультра, КС 319 - стр 
Шансилин, ВДГ 73 - стр 
Шанситек, КЭ 22 - стр 
Шансометокс Трио, КС 140 - стр 
Шансометокс Трио, КС 140 - стр 
Шансомитрон, КС 554 - стр 
Шанстар Плюс, ВДГ 660 - стр 
Шанстар, ВДГ 650 - стр 
Шансти, ВДГ 629 - стр  
Шансюген, ВЭ 669 - стр 
Шантус, ВДГ 612 - стр 
Шарпей, МЭ 155 - стр 
Шин-Етсу МД ВП ТТ, Д 182 - стр 
Шин-Етсу МД Дуо ТТ, Д 182 - стр 
Шин-Етсу МД Л, Д 182 - стр 
Шин-Етсу МД СТТ, Д 182 - стр 
Ширлан, СК 358 - стр 
Ширма, КС 357 - стр 
Шквал, ВК 507 - стр 
Шкипер, ВР 545 - стр 
Шогун, КЭ 597 - стр 
Шпага, КС 381 - стр 

Э
Эвентус, МЭ 427 - стр 
Эверест, ВДГ 680 - стр 
Эвито Т, КС 324 - стр 
Эволюшн, КЭ 529 - стр 
Эгида, СК 547 - стр 
Эйс, ККР 325 - стр 
Эквит, ВР 711 - стр 
Экогель экстра, ВР 808 - стр 
ЭкоЛарикс, ВРП 799 - стр 
Экономикс Колор, КС 319 - стр 
Экопин, ТПС 849 - стр 
Экселент, КС 276 - стр 
Эксифир, КЭ 390 - стр 
Эксперт 22, КЭ 473 - стр 
Эксперт Некст, КС 477 - стр 
Эксперт Трио ОФ, КЭ 698 - стр 
Экспресс Голд, ВДГ 657 - стр 
Экспресс, ВДГ 654 - стр 
ЭкстраКор, ВРП 856 - стр 
Элант Экстра, СЭ 400 - стр 
Элант, КЭ 411 - стр 
Элант-Премиум, КЭ 410 - стр 
Элатус Плюс, КЭ 291 - стр 
Элатус Риа, КЭ 291 - стр 
Элатус Эйс, КЭ 291 - стр 
Электис Д, КС 237 - стр 
Элефант, КЭ 526 - стр 
Эллада, ВДГ 575 - стр 
Эллай Лайт, ВДГ 575 - стр 
Эмбрелия Экстра, СК 237 - стр 
Эмбрелия, СК 237 - стр 
Эместо Квантум, КС 102 - стр 
Эместо Квантум, КС 102 - стр 
Эместо Сильвер, КС 276 - стр 
Эминент, МЭ 330 - стр 
Эмистим, Р 747 - стр 
Эндимион, КЭ 403 - стр 
Энергия-М, КРП, ТАБ 825 - стр 
Энлиль, КЭ 60 - стр 
Эпивио Вигор, Ж 746 - стр 
Эпин-Экстра, Р 740 - стр 
Эпсилон, КЭ 228 - стр 
Эрайз, Ж 747 - стр 
Эрколе, Г 111 - стр 
Эскудо, ВДГ 610 - стр 
Эсперо Евро, МД 48 - стр 
Эсперо, КС 89 - стр 
Эстамп, КЭ 590 - стр 
Эстерон 600, КЭ 402 - стр 
Эстет, КЭ 403 - стр 
Эсток, ВДГ 695 - стр 
Эсфон, ВР 723 - стр 
Эталон, КЭ 491 - стр 
Этамастер Супер, ВДГ 696 - стр 
Этамастер, ВДГ 694 - стр 
Этамет, ВДГ 695 - стр 
Этамон Био, ВРП 756 - стр 
Этамон, ВР 754 - стр 
ЭтилФло, СЭ 401 - стр 
Этофин, СК 389 - стр 
Эурон, ВДГ 620 - стр 
Эфатол, СП 217 - стр 
Эфес, КЭ 527 - стр 
Эфилон, КЭ 543 - стр 
Эфирам, КЭ 395 - стр 
Эфория Топ, МКС 142 - стр 
Эфория, КС 141 - стр 
Эфробел, КС 142 - стр 
Эффект, КЭ 394 - стр 
Эшелон, ВДГ 620 - стр 

Ю
Юзмар, ВР 502 - стр 
Юнимарк, ВДГ 562 - стр 
Юниформ, СЭ 208 - стр 
Юнкер, ВР 500 - стр 
Юнона, МЭ 159 - стр 

Я
Янтарин БАУ, ВР 881 - стр 
Янтарин, ВРК 881 - стр 
Янтарная кислота, ВРП 881 - стр 
Янтарь, КС 586 - стр 
